________________________________________________________________________________________________________

INPE-EM TOTAL RESULTS
________________________________________________________________________________________________________

MODEL NAME = amzEMNS
MODEL MODE = non_spatial
SUBMODELS => Biomass = b3, Deforest = d, Vegetation Removal = vr, Secondary Vegetation = sv, Degrad = dg
________________________________________________________________________________________________________

Year;D_AreaAcc;D_Area;DEGRAD_Area;-;VR_CO2_1stOrder;VR_CO2_2ndOrder;SV_CO2Emission;SV_CO2Absorption;-;DEGRAD_CO2Emission;DEGRAD_CO2Absorption;-;NET_1st_Order;NET_2nd_Order
1960;842754;842754;0;-;411;133;0;0;-;0;0;-;411;133
1961;1685508;842754;0;-;411;222;0;0;-;0;0;-;411;222
1962;2528262;842754;0;-;411;276;0;0;-;0;0;-;411;276
1963;3371016;842754;0;-;411;311;0;-2;-;0;0;-;409;309
1964;4213770;842754;0;-;411;334;0;-4;-;0;0;-;407;329
1965;5056524;842754;0;-;411;350;0;-7;-;0;0;-;404;342
1966;5899278;842754;0;-;411;360;0;-9;-;0;0;-;402;351
1967;6742032;842754;0;-;411;368;0;-11;-;0;0;-;400;357
1968;7584786;842754;0;-;411;374;1;-14;-;0;0;-;399;361
1969;8427540;842754;0;-;411;378;1;-16;-;0;0;-;397;364
1970;9270294;842754;0;-;411;381;2;-18;-;0;0;-;396;366
1971;10113048;842754;0;-;411;384;3;-20;-;0;0;-;394;367
1972;10955802;842754;0;-;411;386;4;-22;-;0;0;-;393;368
1973;11798556;842754;0;-;411;388;5;-24;-;0;0;-;392;369
1974;12641310;842754;0;-;411;390;6;-26;-;0;0;-;391;370
1975;13484064;842754;0;-;411;391;7;-28;-;0;0;-;390;370
1976;14326818;842754;0;-;411;393;9;-30;-;0;0;-;390;371
1977;15169572;842754;0;-;411;394;10;-32;-;0;0;-;389;371
1978;16012326;842754;0;-;411;395;11;-34;-;0;0;-;388;371
1979;18162326;2150000;0;-;1050;603;12;-36;-;0;0;-;1026;578
1980;20312326;2150000;155872;-;1050;741;13;-38;-;31;0;-;1056;747
1981;22417326;2105000;155872;-;1028;819;15;-41;-;31;0;-;1034;825
1982;24522326;2105000;155872;-;1027;869;17;-46;-;31;0;-;1029;870
1983;26627326;2105000;155872;-;1027;902;19;-52;-;31;0;-;1025;899
1984;28732326;2105000;155872;-;1027;924;20;-57;-;31;0;-;1020;917
1985;30837326;2105000;155872;-;1027;940;22;-63;-;31;0;-;1017;930
1986;32942326;2105000;155872;-;1027;951;26;-68;-;31;-1;-;1014;939
1987;35047326;2105000;155872;-;1026;960;29;-73;-;31;-1;-;1012;945
1988;37152326;2105000;155872;-;1026;966;31;-78;-;31;-1;-;1009;949
1989;38929326;1777000;155872;-;866;919;36;-76;-;31;-1;-;855;908
1990;40302326;1373000;155872;-;669;825;39;-81;-;31;-1;-;656;812
1991;41405326;1103000;155872;-;537;722;40;-86;-;31;-2;-;521;706
1992;42783926;1378600;155872;-;671;701;43;-90;-;31;-2;-;653;682
1993;44273526;1489600;155872;-;725;706;47;-94;-;31;-2;-;707;689
1994;45763126;1489600;155872;-;725;710;50;-96;-;31;-2;-;708;693
1995;48669026;2905900;155872;-;1415;935;53;-99;-;31;-2;-;1397;918
1996;50485126;1816100;155872;-;884;912;56;-103;-;31;-2;-;866;894
1997;51807826;1322700;155872;-;643;811;59;-106;-;31;-3;-;624;792
1998;53546126;1738300;155872;-;845;813;61;-114;-;31;-3;-;821;788
1999;55272026;1725900;155872;-;839;816;64;-119;-;31;-3;-;812;789
2000;57094626;1822600;155872;-;886;833;67;-122;-;31;-3;-;859;805
2001;58911126;1816500;155872;-;883;843;72;-126;-;31;-3;-;856;815
2002;61076244;2165118;155872;-;1052;904;74;-130;-;31;-3;-;1023;874
2003;63615930;2539686;155872;-;1234;1003;76;-134;-;31;-4;-;1204;973
2004;66393134;2777204;155872;-;1349;1105;80;-138;-;31;-4;-;1318;1074
2005;68294552;1901418;155872;-;923;1032;83;-143;-;31;-4;-;890;999
2006;68294552;0;0;-;0;682;86;-149;-;0;-4;-;-68;614
2007;68294552;0;0;-;0;454;89;-156;-;0;-4;-;-72;382
2008;68294552;0;0;-;0;313;93;-161;-;0;-4;-;-72;241
2009;68294552;0;0;-;0;225;98;-160;-;0;-4;-;-67;158
2010;68294552;0;0;-;0;167;103;-158;-;0;-4;-;-60;107
2011;68294552;0;0;-;0;128;107;-156;-;0;-4;-;-54;74
2012;68294552;0;0;-;0;101;108;-155;-;0;-4;-;-51;50
2013;68294552;0;0;-;0;82;109;-154;-;0;-4;-;-50;33
2014;68294552;0;0;-;0;68;110;-154;-;0;-4;-;-49;19

(OBS: area in hecatares, CO2 in MtonCO2(= 10 12 g), other gases in CO2Eq)
