________________________________________________________________________________________________________

INPE-EM TOTAL RESULTS
________________________________________________________________________________________________________

MODEL NAME = amzRegrowRates
MODEL MODE = combine
SUBMODELS => Biomass = b3, Deforest = d, Vegetation Removal = vr, Secondary Vegetation = sv, Degrad = dg
________________________________________________________________________________________________________

Year;D_AreaAcc;D_Area;DEGRAD_Area;-;VR_CO2_1stOrder;VR_CO2_2ndOrder;SV_CO2Emission;SV_CO2Absorption;-;DEGRAD_CO2Emission;DEGRAD_CO2Absorption;-;NET_1st_Order;NET_2nd_Order
1960;842754;842754;0;-;411;133;0;0;-;0;0;-;411;133
1961;1685508;842754;0;-;411;222;0;0;-;0;0;-;411;222
1962;2528262;842754;0;-;411;276;0;0;-;0;0;-;411;276
1963;3371016;842754;0;-;411;311;0;-2;-;0;0;-;409;309
1964;4213770;842754;0;-;411;334;0;-4;-;0;0;-;407;329
1965;5056524;842754;0;-;411;350;0;-7;-;0;0;-;404;342
1966;5899278;842754;0;-;411;360;0;-9;-;0;0;-;402;351
1967;6742032;842754;0;-;411;368;0;-11;-;0;0;-;400;357
1968;7584786;842754;0;-;411;374;1;-14;-;0;0;-;399;361
1969;8427540;842754;0;-;411;378;1;-16;-;0;0;-;397;364
1970;9270294;842754;0;-;411;381;2;-18;-;0;0;-;396;366
1971;10113048;842754;0;-;411;384;3;-20;-;0;0;-;394;367
1972;10955802;842754;0;-;411;386;4;-22;-;0;0;-;393;368
1973;11798556;842754;0;-;411;388;5;-24;-;0;0;-;392;369
1974;12641310;842754;0;-;411;390;6;-26;-;0;0;-;391;370
1975;13484064;842754;0;-;411;391;7;-28;-;0;0;-;390;370
1976;14326818;842754;0;-;411;393;9;-30;-;0;0;-;390;371
1977;15169572;842754;0;-;411;394;10;-32;-;0;0;-;389;371
1978;16012326;842754;0;-;411;395;11;-34;-;0;0;-;388;371
1979;18162326;2150000;0;-;1050;603;12;-36;-;0;0;-;1026;578
1980;20312326;2150000;0;-;1050;741;13;-38;-;0;0;-;1025;716
1981;22417326;2105000;155872;-;1028;819;15;-41;-;31;0;-;1034;825
1982;24522326;2105000;155872;-;1028;869;17;-46;-;31;-2;-;1027;868
1983;26627326;2105000;155872;-;1028;902;19;-52;-;31;-5;-;1020;895
1984;28732326;2105000;155872;-;1027;924;20;-57;-;31;-7;-;1014;911
1985;30837326;2105000;155872;-;1027;940;22;-63;-;31;-9;-;1008;921
1986;32942326;2105000;155872;-;1027;951;26;-68;-;31;-11;-;1004;929
1987;35047326;2105000;155872;-;1027;960;29;-73;-;31;-13;-;1000;933
1988;37152326;2105000;155872;-;1027;967;31;-78;-;31;-15;-;996;936
1989;38929326;1777000;155872;-;867;920;36;-76;-;31;-17;-;840;893
1990;40302326;1373000;155872;-;669;826;39;-81;-;31;-18;-;639;796
1991;41405326;1103000;155872;-;538;723;40;-86;-;31;-20;-;503;688
1992;42783926;1378600;155872;-;672;701;43;-90;-;31;-21;-;635;664
1993;44273526;1489600;155872;-;726;707;47;-94;-;31;-22;-;688;669
1994;45763126;1489600;155872;-;726;711;50;-96;-;31;-23;-;688;672
1995;48669026;2905900;155872;-;1416;936;53;-99;-;31;-24;-;1377;897
1996;50485126;1816100;155872;-;885;913;56;-103;-;31;-25;-;844;872
1997;51807826;1322700;155872;-;644;813;59;-106;-;31;-26;-;601;770
1998;53546126;1738300;155872;-;847;814;61;-114;-;31;-27;-;798;765
1999;55272026;1725900;155872;-;841;817;64;-119;-;31;-28;-;789;766
2000;57094626;1822600;155872;-;888;834;67;-122;-;31;-28;-;835;781
2001;58911126;1816500;155872;-;885;844;72;-126;-;31;-29;-;832;791
2002;61076244;2165118;155872;-;1055;905;74;-130;-;31;-30;-;999;850
2003;63615930;2539686;155872;-;1237;1005;76;-134;-;31;-30;-;1180;948
2004;66393134;2777204;155872;-;1353;1107;80;-138;-;31;-31;-;1295;1050
2005;68294552;1901418;155872;-;926;1034;83;-143;-;31;-31;-;866;974
2006;69723152;1428600;155872;-;696;909;86;-149;-;31;-31;-;632;846
2007;72078843;1164972;1603815;-;620;807;89;-156;-;317;-32;-;839;1026
2008;73369939;1291096;2747161;-;652;747;93;-161;-;509;-214;-;880;975
2009;74116262;746322;1332971;-;418;632;98;-164;-;202;-231;-;323;537
2010;74816253;699991;750584;-;393;555;103;-166;-;159;-198;-;291;453
2011;75458053;641799;2454760;-;350;492;107;-168;-;403;-184;-;508;649
2012;75915153;457100;859104;-;230;412;110;-169;-;162;-236;-;97;280
2013;76504248;589095;535915;-;300;380;114;-170;-;98;-218;-;124;205
2014;77005447;501199;418377;-;259;347;119;-172;-;79;-184;-;100;189
2015;77626135;620687;1164767;-;313;342;123;-173;-;183;-166;-;279;309
2016;78415435;789300;2734444;-;409;368;127;-174;-;622;-174;-;810;770

(OBS: area in hecatares, CO2 in MtonCO2(= 10 12 g), other gases in CO2Eq)
