________________________________________________________________________________________________________

INPE-EM TOTAL RESULTS
________________________________________________________________________________________________________

MODEL NAME = amzEMS
MODEL MODE = spatial
SUBMODELS => Biomass = b3, Deforest = d, Vegetation Removal = vr, Secondary Vegetation = sv, Degrad = dg
________________________________________________________________________________________________________

Year;D_AreaAcc;D_Area;DEGRAD_Area;-;VR_CO2_1stOrder;VR_CO2_2ndOrder;SV_CO2Emission;SV_CO2Absorption;-;DEGRAD_CO2Emission;DEGRAD_CO2Absorption;-;NET_1st_Order;NET_2nd_Order
2006;69708603;1428628;1580179;-;736;242;0;0;-;314;-2;-;1047;554
2007;70873575;1164972;2700717;-;614;349;0;0;-;505;-4;-;1114;850
2008;72164672;1291096;1233088;-;655;433;0;0;-;190;-7;-;838;616
2009;72911037;746365;744604;-;420;408;0;-4;-;159;-8;-;567;555
2010;73611037;700000;2397989;-;393;389;0;-7;-;394;-9;-;771;766
2011;74252837;641799;834342;-;352;365;0;-11;-;157;-11;-;487;499
2012;74709937;457100;522344;-;231;312;3;-14;-;97;-12;-;304;386
2013;75299032;589095;418614;-;302;300;6;-16;-;77;-12;-;357;355
2014;75800232;501199;1147817;-;257;280;11;-17;-;176;-13;-;414;437

(OBS: area in hecatares, CO2 in MtonCO2(= 10 12 g), other gases in CO2Eq)
