________________________________________________________________________________________________________

INPE-EM TOTAL RESULTS
________________________________________________________________________________________________________

MODEL NAME = amzRegrowRatesS
MODEL MODE = spatial
SUBMODELS => Biomass = b3, Deforest = d, Vegetation Removal = vr, Secondary Vegetation = sv, Degrad = dg
________________________________________________________________________________________________________

Year;D_AreaAcc;D_Area;DEGRAD_Area;-;VR_CO2_1stOrder;VR_CO2_2ndOrder;SV_CO2Emission;SV_CO2Absorption;-;DEGRAD_CO2Emission;DEGRAD_CO2Absorption;-;NET_1st_Order;NET_2nd_Order
2007;72078843;1164972;1603815;-;620;202;0;0;-;317;0;-;938;520
2008;73369939;1291096;2747161;-;652;340;0;0;-;509;-195;-;967;655
2009;74116262;746322;1332971;-;418;348;0;0;-;202;-218;-;402;332
2010;74816253;699991;750584;-;393;348;0;-3;-;159;-188;-;360;316
2011;75458053;641799;2454760;-;350;337;0;-7;-;403;-175;-;569;556
2012;75915153;457100;859104;-;230;292;0;-10;-;162;-228;-;153;215
2013;76504248;589095;535915;-;300;285;2;-12;-;98;-211;-;177;162
2014;77005447;501199;418377;-;259;269;6;-14;-;79;-179;-;151;162
2015;77626135;620687;1164767;-;313;277;9;-14;-;183;-161;-;329;293
2016;78415435;789300;2734444;-;409;313;13;-15;-;622;-169;-;859;763

(OBS: area in hecatares, CO2 in MtonCO2(= 10 12 g), other gases in CO2Eq)
